,Company_tic,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,lastFiscalYearEnd,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,nextFiscalYearEnd,mostRecentQuarter,enterpriseValue,priceHint,pegRatio,ytdReturn,forwardPE
0,SIGA,4.889,0.45786,8.013,0.07000005,0.8,1.548,1609372800,43706476,0.545,0.27952945,4.8255816,1672444800,1625011200,466674176,2,9.04,NA,9.3375
1,BEAM,214468.94,0.0,-15.508,2.030303,-3.82,8.685,1609372800,-407728992,-7.115,0.27952945,9.833045,1672444800,1625011200,5147254272,2,-6.8,NA,-22.356022
2,CETI,3.087,0.14953,-8.693,-0.8358209,NA,-0.094,1317340800,16000,0.005,0.27952945,NA,1380499200,1341014400,330340,4,NA,NA,NA
3,IBEX,0.824,0.00642,7.071,0.062039256,1.41,4.439,1625011200,2847000,0.15,0.27952945,3.9761205,1688083200,1625011200,365785024,2,NA,NA,12.517731
4,CANX,NA,0.0,NA,-0.34782606,NA,0.022,NA,NA,NA,0.27952945,0.27272728,NA,1538265600,4865636,4,NA,NA,NA
5,OMGA,NA,0.0,-24.061,0.270625,-3.45,-19.902,1609372800,-46604000,-11.063,0.27952945,NA,1672444800,1625011200,1060877120,2,NA,NA,-5.7078257
6,DCSX,0.746,-0.11205,-6.767,-0.37368923,NA,0.013,1609372800,-1752179,-0.12,0.27952945,47.286922,1672444800,1625011200,11657862,4,NA,NA,NA
7,ABSI,254.298,0.0,-42.425,-0.496063,-0.87,-5.68,1609372800,-72884000,-4.406,0.27952945,NA,1672444800,1625011200,1382107776,2,-0.74,NA,-12.379311
8,ALSI,NA,0.0,-4.067,37.214287,NA,-11.961,1049068800,-465400,-2.057,0.27952945,NA,1112227200,1072828800,1214154,4,NA,NA,NA
9,SBSI,8.505,0.4436,NA,0.5169326,2.69,27.373,1609372800,112054000,3.405,0.27952945,1.429511,1672444800,1625011200,2148396800,2,6.18,NA,14.546469
10,LMNR,2.648,-0.036989998,924.337,0.06387222,0.35,10.246,1604102400,-6549000,-0.373,0.27952945,1.565489,1667174400,1627689600,429816544,2,-5.38,NA,45.828575
11,SWEE,6.95,-0.66843003,NA,-0.45,NA,0.024,1498780800,-1313696,-0.051,0.27952945,22.916666,1561852800,1514678400,13659750,4,NA,NA,NA
12,TPIC,0.866,0.00331,14.79,0.003826499,0.88,4.344,1609372800,5972000,0.163,0.27952945,7.373389,1672444800,1625011200,1561853568,2,-0.09,NA,36.397728
13,LIGA,7.225,0.33568,NA,1.173913,NA,0.085,1356912000,901268,0.009,0.27952945,0.058823526,1419984000,1356912000,19399356,4,NA,NA,NA
14,SSBI,3.183,0.34919,NA,0.79762995,NA,13.012,1609372800,13098000,2.158,0.27952945,1.5233938,1672444800,1625011200,119384816,2,NA,NA,NA
15,BASE,9.114,-0.43344003,-23.633,-0.04671055,-1.18,4.677,1612051200,-54707000,-8.123,0.27952945,6.37802,1675123200,1627689600,1027472256,2,NA,NA,-25.279661
